home,away,home_score,away_score,i_home,i_away
Ascoli,Atalanta,1,0,0,1
Bari,Atalanta,0,0,2,1
Cagliari,Atalanta,0,0,3,1
Cremonese,Atalanta,1,2,4,1
Fiorentina,Atalanta,3,0,5,1
Foggia,Atalanta,2,3,6,1
Genoa,Atalanta,0,2,7,1
Inter,Atalanta,0,0,8,1
Juventus,Atalanta,2,1,9,1
Lazio,Atalanta,1,1,10,1
Milan,Atalanta,3,1,11,1
Napoli,Atalanta,1,0,12,1
Parma,Atalanta,0,0,13,1
Roma,Atalanta,1,1,14,1
Sampdoria,Atalanta,0,2,15,1
Torino,Atalanta,1,1,16,1
Verona,Atalanta,1,3,17,1
Ascoli,Bari,2,2,0,2
Atalanta,Bari,2,1,1,2
Cagliari,Bari,0,0,3,2
Cremonese,Bari,1,1,4,2
Fiorentina,Bari,2,0,5,2
Foggia,Bari,4,1,6,2
Genoa,Bari,1,3,7,2
Inter,Bari,1,0,8,2
Juventus,Bari,2,0,9,2
Lazio,Bari,3,1,10,2
Milan,Bari,2,0,11,2
Napoli,Bari,1,0,12,2
Parma,Bari,1,0,13,2
Roma,Bari,2,0,14,2
Sampdoria,Bari,1,1,15,2
Torino,Bari,1,0,16,2
Verona,Bari,2,1,17,2
Ascoli,Cagliari,1,3,0,3
Atalanta,Cagliari,0,1,1,3
Bari,Cagliari,1,0,2,3
Cremonese,Cagliari,0,1,4,3
Fiorentina,Cagliari,1,0,5,3
Foggia,Cagliari,3,1,6,3
Genoa,Cagliari,2,2,7,3
Inter,Cagliari,0,0,8,3
Juventus,Cagliari,0,0,9,3
Lazio,Cagliari,2,1,10,3
Milan,Cagliari,1,0,11,3
Napoli,Cagliari,4,0,12,3
Parma,Cagliari,1,1,13,3
Roma,Cagliari,0,0,14,3
Sampdoria,Cagliari,1,1,15,3
Torino,Cagliari,1,0,16,3
Verona,Cagliari,2,0,17,3
Ascoli,Cremonese,1,0,0,4
Atalanta,Cremonese,1,1,1,4
Bari,Cremonese,0,0,2,4
Cagliari,Cremonese,0,0,3,4
Fiorentina,Cremonese,1,1,5,4
Foggia,Cremonese,2,0,6,4
Genoa,Cremonese,2,0,7,4
Inter,Cremonese,0,2,8,4
Juventus,Cremonese,2,0,9,4
Lazio,Cremonese,3,2,10,4
Milan,Cremonese,3,1,11,4
Napoli,Cremonese,3,0,12,4
Parma,Cremonese,1,1,13,4
Roma,Cremonese,3,0,14,4
Sampdoria,Cremonese,2,2,15,4
Torino,Cremonese,2,0,16,4
Verona,Cremonese,2,2,17,4
Ascoli,Fiorentina,0,0,0,5
Atalanta,Fiorentina,1,0,1,5
Bari,Fiorentina,1,0,2,5
Cagliari,Fiorentina,4,0,3,5
Cremonese,Fiorentina,1,3,4,5
Foggia,Fiorentina,3,3,6,5
Genoa,Fiorentina,3,2,7,5
Inter,Fiorentina,1,1,8,5
Juventus,Fiorentina,1,0,9,5
Lazio,Fiorentina,1,1,10,5
Milan,Fiorentina,1,1,11,5
Napoli,Fiorentina,1,0,12,5
Parma,Fiorentina,1,1,13,5
Roma,Fiorentina,1,3,14,5
Sampdoria,Fiorentina,2,0,15,5
Torino,Fiorentina,2,0,16,5
Verona,Fiorentina,2,3,17,5
Ascoli,Foggia,2,1,0,6
Atalanta,Foggia,4,4,1,6
Bari,Foggia,1,3,2,6
Cagliari,Foggia,2,2,3,6
Cremonese,Foggia,0,2,4,6
Fiorentina,Foggia,1,2,5,6
Genoa,Foggia,0,2,7,6
Inter,Foggia,1,1,8,6
Juventus,Foggia,4,1,9,6
Lazio,Foggia,5,2,10,6
Milan,Foggia,3,1,11,6
Napoli,Foggia,3,3,12,6
Parma,Foggia,2,0,13,6
Roma,Foggia,1,1,14,6
Sampdoria,Foggia,1,1,15,6
Torino,Foggia,3,1,16,6
Verona,Foggia,1,0,17,6
Ascoli,Genoa,0,2,0,7
Atalanta,Genoa,1,0,1,7
Bari,Genoa,1,2,2,7
Cagliari,Genoa,1,1,3,7
Cremonese,Genoa,2,1,4,7
Fiorentina,Genoa,3,1,5,7
Foggia,Genoa,1,0,6,7
Inter,Genoa,2,2,8,7
Juventus,Genoa,3,0,9,7
Lazio,Genoa,1,1,10,7
Milan,Genoa,1,1,11,7
Napoli,Genoa,1,0,12,7
Parma,Genoa,2,0,13,7
Roma,Genoa,0,0,14,7
Sampdoria,Genoa,2,2,15,7
Torino,Genoa,4,0,16,7
Verona,Genoa,2,1,17,7
Ascoli,Inter,1,2,0,8
Atalanta,Inter,1,0,1,8
Bari,Inter,0,2,2,8
Cagliari,Inter,1,1,3,8
Cremonese,Inter,0,1,4,8
Fiorentina,Inter,1,1,5,8
Foggia,Inter,2,2,6,8
Genoa,Inter,1,2,7,8
Juventus,Inter,2,1,9,8
Lazio,Inter,0,1,10,8
Milan,Inter,1,0,11,8
Napoli,Inter,1,1,12,8
Parma,Inter,1,1,13,8
Roma,Inter,0,1,14,8
Sampdoria,Inter,4,0,15,8
Torino,Inter,0,0,16,8
Verona,Inter,1,0,17,8
Ascoli,Juventus,0,2,0,9
Atalanta,Juventus,0,0,1,9
Bari,Juventus,0,0,2,9
Cagliari,Juventus,1,1,3,9
Cremonese,Juventus,0,2,4,9
Fiorentina,Juventus,2,0,5,9
Foggia,Juventus,0,1,6,9
Genoa,Juventus,2,1,7,9
Inter,Juventus,1,3,8,9
Lazio,Juventus,1,1,10,9
Milan,Juventus,1,1,11,9
Napoli,Juventus,0,1,12,9
Parma,Juventus,0,0,13,9
Roma,Juventus,1,1,14,9
Sampdoria,Juventus,1,0,15,9
Torino,Juventus,2,0,16,9
Verona,Juventus,3,3,17,9
Ascoli,Lazio,1,4,0,10
Atalanta,Lazio,1,0,1,10
Bari,Lazio,1,2,2,10
Cagliari,Lazio,0,1,3,10
Cremonese,Lazio,2,0,4,10
Fiorentina,Lazio,1,1,5,10
Foggia,Lazio,2,1,6,10
Genoa,Lazio,1,0,7,10
Inter,Lazio,1,0,8,10
Juventus,Lazio,1,1,9,10
Milan,Lazio,2,0,11,10
Napoli,Lazio,3,0,12,10
Parma,Lazio,1,0,13,10
Roma,Lazio,1,1,14,10
Sampdoria,Lazio,1,0,15,10
Torino,Lazio,0,1,16,10
Verona,Lazio,0,2,17,10
Ascoli,Milan,0,1,0,11
Atalanta,Milan,0,2,1,11
Bari,Milan,0,1,2,11
Cagliari,Milan,1,4,3,11
Cremonese,Milan,1,1,4,11
Fiorentina,Milan,0,0,5,11
Foggia,Milan,2,8,6,11
Genoa,Milan,0,0,7,11
Inter,Milan,1,1,8,11
Juventus,Milan,1,1,9,11
Lazio,Milan,1,1,10,11
Napoli,Milan,1,1,12,11
Parma,Milan,1,3,13,11
Roma,Milan,1,1,14,11
Sampdoria,Milan,0,2,15,11
Torino,Milan,2,2,16,11
Verona,Milan,0,1,17,11
Ascoli,Napoli,1,4,0,12
Atalanta,Napoli,1,1,1,12
Bari,Napoli,1,3,2,12
Cagliari,Napoli,0,0,3,12
Cremonese,Napoli,0,0,4,12
Fiorentina,Napoli,4,2,5,12
Foggia,Napoli,1,0,6,12
Genoa,Napoli,3,4,7,12
Inter,Napoli,0,0,8,12
Juventus,Napoli,3,1,9,12
Lazio,Napoli,3,3,10,12
Milan,Napoli,5,0,11,12
Parma,Napoli,2,1,13,12
Roma,Napoli,1,1,14,12
Sampdoria,Napoli,1,1,15,12
Torino,Napoli,0,0,16,12
Verona,Napoli,0,1,17,12
Ascoli,Parma,2,3,0,13
Atalanta,Parma,0,1,1,13
Bari,Parma,1,1,2,13
Cagliari,Parma,0,0,3,13
Cremonese,Parma,0,1,4,13
Fiorentina,Parma,1,1,5,13
Foggia,Parma,1,1,6,13
Genoa,Parma,2,0,7,13
Inter,Parma,0,0,8,13
Juventus,Parma,1,0,9,13
Lazio,Parma,1,1,10,13
Milan,Parma,2,0,11,13
Napoli,Parma,2,2,12,13
Roma,Parma,1,0,14,13
Sampdoria,Parma,2,0,15,13
Torino,Parma,0,0,16,13
Verona,Parma,1,0,17,13
Ascoli,Roma,1,1,0,14
Atalanta,Roma,0,1,1,14
Bari,Roma,2,1,2,14
Cagliari,Roma,0,1,3,14
Cremonese,Roma,1,2,4,14
Fiorentina,Roma,0,1,5,14
Foggia,Roma,1,2,6,14
Genoa,Roma,1,1,7,14
Inter,Roma,0,0,8,14
Juventus,Roma,2,1,9,14
