,ATA,BOL,CAG,CTN,CHV,FIO,GEN,INT,JUV,LAZ,LIV,MIL,NAP,PAR,ROM,SAM,SAS,TOR,UDI,VER
ATA,,2Ð1,1Ð0,2Ð1,2Ð1,0Ð2,1Ð1,1Ð1,1Ð4,2Ð1,2Ð0,2Ð1,3Ð0,0Ð4,1Ð1,3Ð0,0Ð2,2Ð0,2Ð0,1Ð2
BOL,0Ð2,,1Ð0,1Ð2,0Ð0,0Ð3,1Ð0,1Ð1,0Ð2,0Ð0,1Ð0,3Ð3,2Ð2,1Ð1,0Ð1,2Ð2,0Ð0,1Ð2,0Ð2,1Ð4
CAG,2Ð1,0Ð3,,2Ð1,0Ð1,1Ð0,2Ð1,1Ð1,1Ð4,0Ð2,1Ð2,1Ð2,1Ð1,1Ð0,1Ð3,2Ð2,2Ð2,2Ð1,3Ð0,1Ð0
CTN,2Ð1,2Ð0,1Ð1,,2Ð0,0Ð3,1Ð1,0Ð3,0Ð1,3Ð1,3Ð3,1Ð3,2Ð4,0Ð0,4Ð1,2Ð1,0Ð0,1Ð2,1Ð0,0Ð0
CHV,0Ð1,3Ð0,0Ð0,2Ð0,,1Ð2,2Ð1,2Ð1,1Ð2,0Ð2,3Ð0,0Ð0,2Ð4,1Ð2,0Ð2,0Ð1,0Ð1,0Ð1,2Ð1,0Ð1
FIO,2Ð0,3Ð0,1Ð1,2Ð1,3Ð1,,3Ð3,1Ð2,4Ð2,0Ð1,1Ð0,0Ð2,1Ð2,2Ð2,0Ð1,2Ð1,3Ð4,2Ð2,2Ð1,4Ð3
GEN,1Ð1,0Ð0,1Ð2,2Ð0,2Ð1,2Ð5,,1Ð0,0Ð1,2Ð0,0Ð0,1Ð2,0Ð2,1Ð0,1Ð0,0Ð1,2Ð0,1Ð1,3Ð3,2Ð0
INT,1Ð2,2Ð2,1Ð1,0Ð0,1Ð1,2Ð1,2Ð0,,1Ð1,4Ð1,2Ð0,1Ð0,0Ð0,3Ð3,0Ð3,1Ð1,1Ð0,1Ð0,0Ð0,4Ð2
JUV,1Ð0,1Ð0,3Ð0,4Ð0,3Ð1,1Ð0,2Ð0,3Ð1,,4Ð1,2Ð0,3Ð2,3Ð0,2Ð1,3Ð0,4Ð2,4Ð0,1Ð0,1Ð0,2Ð1
LAZ,0Ð1,1Ð0,2Ð0,3Ð1,3Ð0,0Ð0,0Ð2,1Ð0,1Ð1,,2Ð0,1Ð1,2Ð4,3Ð2,0Ð0,2Ð0,3Ð2,3Ð3,2Ð1,3Ð3
LIV,1Ð0,2Ð1,1Ð1,2Ð0,2Ð4,0Ð1,0Ð1,2Ð2,0Ð2,0Ð2,,2Ð2,1Ð1,0Ð3,0Ð2,1Ð2,3Ð1,3Ð3,1Ð2,2Ð3
MIL,3Ð0,1Ð0,3Ð1,1Ð0,3Ð0,0Ð2,1Ð1,1Ð0,0Ð2,1Ð1,3Ð0,,1Ð2,2Ð4,2Ð2,1Ð0,2Ð1,1Ð1,1Ð0,1Ð0
NAP,2Ð0,3Ð0,3Ð0,2Ð1,1Ð1,0Ð1,1Ð1,4Ð2,2Ð0,4Ð2,4Ð0,3Ð1,,0Ð1,1Ð0,2Ð0,1Ð1,2Ð0,3Ð3,5Ð1
PAR,4Ð3,1Ð1,0Ð0,0Ð0,0Ð0,2Ð2,1Ð1,0Ð2,0Ð1,1Ð1,2Ð0,3Ð2,1Ð0,,1Ð3,2Ð0,3Ð1,3Ð1,1Ð0,2Ð0
ROM,3Ð1,5Ð0,0Ð0,4Ð0,1Ð0,2Ð1,4Ð0,0Ð0,0Ð1,2Ð0,3Ð0,2Ð0,2Ð0,4Ð2,,3Ð0,1Ð1,2Ð1,3Ð2,3Ð0
SAM,1Ð0,1Ð1,1Ð0,2Ð0,2Ð1,0Ð0,0Ð3,0Ð4,0Ð1,1Ð1,4Ð2,0Ð2,2Ð5,1Ð1,0Ð2,,3Ð4,2Ð2,3Ð0,5Ð0
SAS,2Ð0,2Ð1,1Ð1,3Ð1,0Ð1,0Ð1,4Ð2,0Ð7,1Ð3,2Ð2,1Ð4,4Ð3,0Ð2,0Ð1,0Ð2,1Ð2,,0Ð2,1Ð2,1Ð2
TOR,1Ð0,1Ð2,2Ð1,4Ð1,4Ð1,0Ð0,2Ð1,3Ð3,0Ð1,1Ð0,3Ð1,2Ð2,0Ð1,1Ð1,1Ð1,0Ð2,2Ð0,,2Ð0,2Ð2
UDI,1Ð1,1Ð1,2Ð0,1Ð0,3Ð0,1Ð0,1Ð0,0Ð3,0Ð2,2Ð3,5Ð3,1Ð0,1Ð1,3Ð1,0Ð1,3Ð3,1Ð0,0Ð2,,1Ð3
VER,2Ð1,0Ð0,2Ð1,4Ð0,0Ð1,3Ð5,3Ð0,0Ð2,2Ð2,4Ð1,2Ð1,2Ð1,0Ð3,3Ð2,1Ð3,2Ð0,2Ð0,1Ð3,2Ð2,
