	ATA	BOL	CAG	CTN	CHV	FIO	GEN	INT	JUV	LAZ	LIV	MIL	NAP	PAR	ROM	SAM	SAS	TOR	UDI	VER
ATA		2-1	1-0	2-1	2-1	0-2	1-1	1-1	1-4	2-1	2-0	2-1	3-0	0-4	1-1	3-0	0-2	2-0	2-0	1-2
BOL	0-2		1-0	1-2	0-0	0-3	1-0	1-1	0-2	0-0	1-0	3-3	2-2	1-1	0-1	2-2	0-0	1-2	0-2	1-4
CAG	2-1	0-3		2-1	0-1	1-0	2-1	1-1	1-4	0-2	1-2	1-2	1-1	1-0	1-3	2-2	2-2	2-1	3-0	1-0
CTN	2-1	2-0	1-1		2-0	0-3	1-1	0-3	0-1	3-1	3-3	1-3	2-4	0-0	4-1	2-1	0-0	1-2	1-0	0-0
CHV	0-1	3-0	0-0	2-0		1-2	2-1	2-1	1-2	0-2	3-0	0-0	2-4	1-2	0-2	0-1	0-1	0-1	2-1	0-1
FIO	2-0	3-0	1-1	2-1	3-1		3-3	1-2	4-2	0-1	1-0	0-2	1-2	2-2	0-1	2-1	3-4	2-2	2-1	4-3
GEN	1-1	0-0	1-2	2-0	2-1	2-5		1-0	0-1	2-0	0-0	1-2	0-2	1-0	1-0	0-1	2-0	1-1	3-3	2-0
INT	1-2	2-2	1-1	0-0	1-1	2-1	2-0		1-1	4-1	2-0	1-0	0-0	3-3	0-3	1-1	1-0	1-0	0-0	4-2
JUV	1-0	1-0	3-0	4-0	3-1	1-0	2-0	3-1		4-1	2-0	3-2	3-0	2-1	3-0	4-2	4-0	1-0	1-0	2-1
LAZ	0-1	1-0	2-0	3-1	3-0	0-0	0-2	1-0	1-1		2-0	1-1	2-4	3-2	0-0	2-0	3-2	3-3	2-1	3-3
LIV	1-0	2-1	1-1	2-0	2-4	0-1	0-1	2-2	0-2	0-2		2-2	1-1	0-3	0-2	1-2	3-1	3-3	1-2	2-3
MIL	3-0	1-0	3-1	1-0	3-0	0-2	1-1	1-0	0-2	1-1	3-0		1-2	2-4	2-2	1-0	2-1	1-1	1-0	1-0
NAP	2-0	3-0	3-0	2-1	1-1	0-1	1-1	4-2	2-0	4-2	4-0	3-1		0-1	1-0	2-0	1-1	2-0	3-3	5-1
PAR	4-3	1-1	0-0	0-0	0-0	2-2	1-1	0-2	0-1	1-1	2-0	3-2	1-0		1-3	2-0	3-1	3-1	1-0	2-0
ROM	3-1	5-0	0-0	4-0	1-0	2-1	4-0	0-0	0-1	2-0	3-0	2-0	2-0	4-2		3-0	1-1	2-1	3-2	3-0
SAM	1-0	1-1	1-0	2-0	2-1	0-0	0-3	0-4	0-1	1-1	4-2	0-2	2-5	1-1	0-2		3-4	2-2	3-0	5-0
SAS	2-0	2-1	1-1	3-1	0-1	0-1	4-2	0-7	1-3	2-2	1-4	4-3	0-2	0-1	0-2	1-2		0-2	1-2	1-2
TOR	1-0	1-2	2-1	4-1	4-1	0-0	2-1	3-3	0-1	1-0	3-1	2-2	0-1	1-1	1-1	0-2	2-0		2-0	2-2
UDI	1-1	1-1	2-0	1-0	3-0	1-0	1-0	0-3	0-2	2-3	5-3	1-0	1-1	3-1	0-1	3-3	1-0	0-2		1-3
VER	2-1	0-0	2-1	4-0	0-1	3-5	3-0	0-2	2-2	4-1	2-1	2-1	0-3	3-2	1-3	2-0	2-0	1-3	2-2	
