Home \ Away[1]	ATA	BOL	CAG	CTN	CHV	FIO	GEN	INT	JUV	LAZ	LIV	MIL	NAP	PAR	ROM	SAM	SAS	TOR	UDI	VER
Atalanta		2–1	1–0	2–1	2–1	0–2	1–1	1–1	1–4	2–1	2–0	2–1	3–0	0–4	1–1	3–0	0–2	2–0	2–0	1–2
Bologna	0–2		1–0	1–2	0–0	0–3	1–0	1–1	0–2	0–0	1–0	3–3	2–2	1–1	0–1	2–2	0–0	1–2	0–2	1–4
Cagliari	2–1	0–3		2–1	0–1	1–0	2–1	1–1	1–4	0–2	1–2	1–2	1–1	1–0	1–3	2–2	2–2	2–1	3–0	1–0
Catania	2–1	2–0	1–1		2–0	0–3	1–1	0–3	0–1	3–1	3–3	1–3	2–4	0–0	4–1	2–1	0–0	1–2	1–0	0–0
Chievo	0–1	3–0	0–0	2–0		1–2	2–1	2–1	1–2	0–2	3–0	0–0	2–4	1–2	0–2	0–1	0–1	0–1	2–1	0–1
Fiorentina	2–0	3–0	1–1	2–1	3–1		3–3	1–2	4–2	0–1	1–0	0–2	1–2	2–2	0–1	2–1	3–4	2–2	2–1	4–3
Genoa	1–1	0–0	1–2	2–0	2–1	2–5		1–0	0–1	2–0	0–0	1–2	0–2	1–0	1–0	0–1	2–0	1–1	3–3	2–0
Internazionale	1–2	2–2	1–1	0–0	1–1	2–1	2–0		1–1	4–1	2–0	1–0	0–0	3–3	0–3	1–1	1–0	1–0	0–0	4–2
Juventus	1–0	1–0	3–0	4–0	3–1	1–0	2–0	3–1		4–1	2–0	3–2	3–0	2–1	3–0	4–2	4–0	1–0	1–0	2–1
Lazio	0–1	1–0	2–0	3–1	3–0	0–0	0–2	1–0	1–1		2–0	1–1	2–4	3–2	0–0	2–0	3–2	3–3	2–1	3–3
Livorno	1–0	2–1	1–1	2–0	2–4	0–1	0–1	2–2	0–2	0–2		2–2	1–1	0–3	0–2	1–2	3–1	3–3	1–2	2–3
Milan	3–0	1–0	3–1	1–0	3–0	0–2	1–1	1–0	0–2	1–1	3–0		1–2	2–4	2–2	1–0	2–1	1–1	1–0	1–0
Napoli	2–0	3–0	3–0	2–1	1–1	0–1	1–1	4–2	2–0	4–2	4–0	3–1		0–1	1–0	2–0	1–1	2–0	3–3	5–1
Parma	4–3	1–1	0–0	0–0	0–0	2–2	1–1	0–2	0–1	1–1	2–0	3–2	1–0		1–3	2–0	3–1	3–1	1–0	2–0
Roma	3–1	5–0	0–0	4–0	1–0	2–1	4–0	0–0	0–1	2–0	3–0	2–0	2–0	4–2		3–0	1–1	2–1	3–2	3–0
Sampdoria	1–0	1–1	1–0	2–0	2–1	0–0	0–3	0–4	0–1	1–1	4–2	0–2	2–5	1–1	0–2		3–4	2–2	3–0	5–0
Sassuolo	2–0	2–1	1–1	3–1	0–1	0–1	4–2	0–7	1–3	2–2	1–4	4–3	0–2	0–1	0–2	1–2		0–2	1–2	1–2
Torino	1–0	1–2	2–1	4–1	4–1	0–0	2–1	3–3	0–1	1–0	3–1	2–2	0–1	1–1	1–1	0–2	2–0		2–0	2–2
Udinese	1–1	1–1	2–0	1–0	3–0	1–0	1–0	0–3	0–2	2–3	5–3	1–0	1–1	3–1	0–1	3–3	1–0	0–2		1–3
Verona	2–1	0–0	2–1	4–0	0–1	3–5	3–0	0–2	2–2	4–1	2–1	2–1	0–3	3–2	1–3	2–0	2–0	1–3	2–2	
