Team,Pld,W,D,L,GF,GA,GD,Pts
JUV,38,33,3,2,80,23,57,102
ROM,38,26,7,5,72,25,47,85
NAP,38,23,9,6,77,39,38,78
FIO,38,19,8,11,65,44,21,65
INT,38,15,15,8,62,39,23,60
PAR,38,15,13,10,58,46,12,58
TOR,38,15,12,11,58,48,10,57
MIL,38,16,9,13,57,49,8,57
LAZ,38,15,11,12,54,54,0,56
VER,38,16,6,16,62,68,-6,54
ATA,38,15,5,18,43,51,-8,50
SAM,38,12,9,17,48,62,-14,45
UDI,38,12,8,18,46,57,-11,44
GEN,38,11,11,16,41,50,-9,44
CAG,38,9,12,17,34,53,-19,39
CHV,38,10,6,22,34,54,-20,36
SAS,38,9,7,22,43,72,-29,34
CTN,38,8,8,22,34,66,-32,32
BOL,38,5,14,19,28,58,-30,29
LIV,38,6,7,25,39,77,-38,25
